carat,cut,colour,clarity,Length,Width,height,depth ratio,table,Grading,price
0.31,Ideal,D,VS1,4.3,4.33,2.66,61.6,55.0, Low  ,713
1.22,Ideal,G,VS1,6.83,6.88,4.24,62.0,56.0,High  ,9339
0.58,Very Good,F,SI2,5.34,5.26,3.34,63.0,56.0,Mid  ,1173
0.39,Good,E,VVS2,4.73,4.74,2.91,61.5,61.0, Low  ,943
0.7,Ideal,F,VS2,5.72,5.75,3.52,61.4,56.0,Mid  ,3064
0.72,Ideal,G,VVS2,5.72,5.81,3.53,61.2,57.0,Mid  ,3126
1.01,Very Good,E,VS2,6.3,6.26,3.96,63.1,60.0,Mid  ,6335
0.7,Good,G,SI1,5.57,5.51,3.54,63.9,58.0,Mid  ,2218
0.35,Ideal,D,SI1,4.49,4.47,2.78,62.1,57.0, Low  ,772
0.37,Ideal,G,IF,4.6,4.64,2.84,61.5,56.0,Mid  ,1056
1.01,Premium,F,VS2,6.59,6.55,3.89,59.2,61.0,High  ,6900
0.32,Very Good,D,SI1,4.5,4.53,2.71,60.0,56.0, Low  ,644
0.9,Good,H,SI1,6.04,6.1,3.83,63.1,63.0,Mid  ,3484
0.37,Ideal,E,VS2,4.62,4.66,2.83,61.0,56.0, Low  ,737
1.63,Ideal,H,VS2,7.6,7.57,4.65,61.3,56.0,High  ,12620
1.52,Premium,D,SI2,7.5,7.42,4.46,59.8,60.0,High  ,10623
0.5,Ideal,E,SI2,5.09,5.04,3.19,63.0,57.0,Mid  ,1181
0.41,Premium,E,VVS1,4.86,4.78,2.89,60.0,61.0,Mid  ,1130
0.55,Ideal,G,VS1,5.29,5.32,3.27,61.6,55.0,Mid  ,1786
1.51,Premium,J,SI1,7.58,7.53,4.41,58.4,60.0,High  ,7314
0.78,Ideal,I,VS2,5.92,5.95,3.67,61.8,55.0,Mid  ,2834
0.4,Premium,J,IF,4.7,4.64,2.93,62.7,60.0,Mid  ,1063
0.33,Ideal,F,VVS1,4.42,4.45,2.75,62.0,59.0, Low  ,829
0.31,Ideal,G,VVS1,4.38,4.4,2.66,60.6,57.0, Low  ,816
0.31,Ideal,D,VS2,4.37,4.4,2.69,61.3,57.0, Low  ,734
0.5,Ideal,H,IF,5.15,5.17,3.15,61.0,56.0,Mid  ,1923
0.76,Very Good,H,SI1,5.79,5.81,3.67,63.3,58.0,Mid  ,2593
1.28,Premium,H,VS2,7.07,7.03,4.19,59.4,60.0,Mid  ,5878
1.5,Premium,I,SI2,7.46,7.39,4.42,59.5,62.0,High  ,7140
0.73,Very Good,H,SI1,5.77,5.8,3.6,62.2,57.0,Mid  ,2001
0.3,Premium,H,VVS2,4.26,4.3,2.67,62.4,58.0, Low  ,605
1.01,Very Good,F,SI1,6.4,6.51,3.92,60.7,58.0,Mid  ,5248
0.7,Very Good,D,VS2,5.6,5.58,3.54,63.3,56.0,Mid  ,2826
0.71,Premium,H,SI2,5.71,5.64,3.56,62.7,57.0,Mid  ,2231
0.38,Ideal,E,SI2,4.69,4.72,2.89,61.5,55.0, Low  ,603
0.72,Premium,H,SI1,5.73,5.67,3.56,62.5,57.0,Mid  ,2398
0.52,Very Good,E,SI1,5.17,5.19,3.16,61.0,61.0,Mid  ,1369
0.51,Ideal,G,VS1,5.18,5.15,3.18,61.6,56.0,Mid  ,1662
0.83,Premium,D,SI1,6.03,6.0,3.69,61.3,58.0,Mid  ,2990
1.56,Good,I,SI2,7.58,7.63,4.45,58.5,61.0,High  ,8048
0.91,Very Good,D,SI1,6.16,6.1,3.87,63.1,61.0,Mid  ,4041
0.51,Premium,D,VS2,5.05,5.09,3.18,62.7,59.0,Mid  ,1716
0.3,Premium,D,VS1,4.38,4.34,2.59,59.4,60.0, Low  ,848
0.51,Very Good,F,VS2,5.1,5.17,3.13,61.0,58.0,Mid  ,1569
0.55,Ideal,D,VS2,5.3,5.36,3.23,60.6,56.0,Mid  ,2224
0.55,Ideal,J,SI1,5.24,5.3,3.21,60.9,57.0,Mid  ,1100
1.01,Very Good,F,SI1,6.3,6.37,4.0,63.1,59.0,Mid  ,5010
1.0,Very Good,F,VS2,6.34,6.38,3.94,61.9,59.0,Mid  ,5505
1.5,Very Good,F,VVS2,7.17,7.25,4.6,63.8,59.0,High  ,16116
1.29,Very Good,F,I1,7.11,7.15,4.15,58.2,61.0,Mid  ,3774
1.01,Fair,F,VS2,6.3,6.25,4.07,64.8,56.0,Mid  ,4791
0.52,Ideal,G,VS1,5.11,5.15,3.2,62.4,56.0,Mid  ,1689
0.32,Ideal,D,VS2,4.4,4.37,2.7,61.6,56.0, Low  ,972
0.3,Ideal,G,SI1,4.33,4.36,2.65,61.2,56.0, Low  ,487
0.3,Good,D,VVS2,4.23,4.28,2.73,64.2,55.0, Low  ,689
1.3,Premium,J,SI2,7.0,6.95,4.26,61.1,61.0,Mid  ,5140
1.23,Ideal,G,VVS2,6.95,6.93,4.23,61.0,55.0,High  ,9698
0.7,Good,H,SI2,5.58,5.55,3.55,63.8,57.0,Mid  ,1856
2.14,Fair,H,I1,8.0,7.92,5.29,66.4,56.0,Mid  ,6328
0.34,Ideal,F,VS2,4.51,4.54,2.75,60.8,57.0, Low  ,699
0.7,Very Good,H,SI2,5.76,5.8,3.47,60.0,60.0,Mid  ,2077
0.34,Ideal,E,VS2,4.45,4.43,2.78,62.6,55.0, Low  ,956
1.24,Ideal,G,VVS2,6.88,6.92,4.22,61.2,56.0,High  ,9362
1.04,Very Good,G,VS2,6.51,6.55,4.01,61.4,63.0,Mid  ,5353
1.63,Ideal,H,SI1,7.5,7.54,4.64,61.8,57.0,High  ,12910
1.52,Premium,H,SI1,7.53,7.43,4.57,61.2,58.0,High  ,8566
1.5,Very Good,F,SI2,7.51,7.56,4.41,58.5,55.0,High  ,9236
0.29,Very Good,F,VVS2,4.22,4.26,2.66,62.7,58.0, Low  ,664
1.0,Premium,E,VS1,6.41,6.44,3.98,61.9,60.0,High  ,7260
0.8,Very Good,H,VS2,5.87,5.91,3.7,62.8,57.0,Mid  ,2808
0.38,Ideal,F,VS1,4.68,4.72,2.88,61.3,56.0,Mid  ,1116
2.01,Premium,J,VS2,8.13,8.07,4.98,61.5,60.0,High  ,13228
2.01,Premium,J,VS2,8.13,8.07,4.98,61.5,60.0,High  ,13572
0.79,Ideal,E,SI1,5.97,5.89,3.67,61.9,55.0,Mid  ,3256
0.52,Very Good,H,SI1,5.12,5.16,3.22,62.6,55.0,Mid  ,1111
0.93,Premium,J,SI2,6.21,6.19,3.84,61.9,57.0,Mid  ,2807
0.91,Premium,E,SI2,6.31,6.27,3.84,61.0,58.0,Mid  ,3644
1.26,Good,G,SI1,6.81,6.87,4.32,63.2,61.0,High  ,6874
1.16,Ideal,G,VVS2,6.74,6.7,4.18,62.2,56.0,High  ,9419
0.9,Premium,E,SI1,6.13,6.1,3.85,63.0,59.0,Mid  ,4334
0.35,Ideal,G,IF,4.52,4.5,2.81,62.3,55.0,Mid  ,1116
1.02,Very Good,F,SI2,6.38,6.44,4.04,63.0,58.0,Mid  ,4162
0.7,Premium,E,SI2,5.69,5.76,3.54,61.8,59.0,Mid  ,2159
1.54,Ideal,G,VS2,7.47,7.52,4.51,60.2,59.0,High  ,13508
1.21,Ideal,G,SI2,6.8,6.85,4.24,62.1,57.0,Mid  ,5226
0.3,Premium,J,VS1,4.27,4.24,2.68,63.0,59.0, Low  ,506
1.56,Very Good,H,VVS2,7.3,7.35,4.64,63.3,58.0,High  ,12098
1.0,Very Good,F,VS2,6.51,6.6,3.85,58.7,62.0,Mid  ,5929
1.09,Ideal,E,SI2,6.74,6.65,3.98,59.4,57.0,Mid  ,3760
1.5,Premium,H,I1,7.37,7.26,4.47,61.1,59.0,Mid  ,3599
1.12,Ideal,E,VVS1,6.7,6.76,4.13,61.5,56.0,High  ,14407
0.56,Ideal,D,SI1,5.24,5.26,3.27,62.3,57.0,Mid  ,1578
0.36,Ideal,G,SI1,4.61,4.64,2.84,61.4,55.0, Low  ,571
0.5,Good,F,VS2,5.01,5.05,3.18,63.2,56.0,Mid  ,1436
1.06,Ideal,D,VVS2,6.52,6.54,4.05,62.0,57.0,High  ,11837
0.4,Ideal,G,IF,4.75,4.79,2.95,61.8,55.0,Mid  ,1239
1.64,Ideal,E,SI1,7.67,7.64,4.65,60.7,55.0,High  ,9801
0.42,Ideal,D,VS1,4.8,4.76,2.98,62.3,57.0,Mid  ,1350
1.0,Premium,H,VS2,6.45,6.4,3.95,61.5,61.0,Mid  ,5000
0.7,Good,G,SI1,5.59,5.62,3.59,64.0,55.0,Mid  ,1915
1.0,Very Good,G,VVS2,6.32,6.37,3.98,62.7,57.0,High  ,7950
0.33,Ideal,G,VS2,4.45,4.49,2.75,61.7,55.9, Low  ,604
0.62,Ideal,F,VVS1,5.46,5.48,3.38,61.9,56.0,Mid  ,3499
0.83,Premium,J,SI1,6.17,6.1,3.64,59.3,59.0,Mid  ,2022
0.28,Very Good,F,IF,4.27,4.29,2.56,59.8,56.0, Low  ,787
0.36,Ideal,E,VVS2,4.6,4.62,2.85,61.8,54.0, Low  ,928
0.57,Ideal,E,VS2,5.43,5.39,3.3,61.0,54.0,Mid  ,2319
0.61,Ideal,G,VVS1,5.46,5.48,3.35,61.2,56.0,Mid  ,3008
0.48,Ideal,I,IF,5.05,5.08,3.11,61.4,55.0,Mid  ,1202
1.55,Ideal,F,SI1,7.45,7.49,4.58,61.3,56.0,High  ,11011
0.71,Premium,E,SI1,5.71,5.64,3.56,62.7,56.0,Mid  ,2743
1.26,Ideal,E,SI1,6.92,6.96,4.27,61.5,59.0,High  ,8574
1.56,Premium,D,SI2,7.54,7.45,4.58,61.1,56.0,High  ,8858
2.02,Very Good,I,SI2,8.12,8.06,5.01,61.9,60.0,High  ,14715
1.21,Ideal,H,VS2,6.84,6.79,4.24,62.2,55.0,Mid  ,5882
1.95,Very Good,H,SI1,7.86,7.94,4.97,62.9,58.0,High  ,14603
0.91,Premium,I,VS1,6.24,6.19,3.85,61.9,57.0,Mid  ,3669
1.24,Premium,G,SI2,6.94,6.88,4.15,60.0,60.0,Mid  ,3896
0.31,Very Good,J,SI1,4.44,4.47,2.59,58.1,62.0, Low  ,353
1.0,Good,F,VS1,6.18,6.28,4.0,64.2,60.0,Mid  ,6389
0.23,Very Good,D,VVS2,3.95,4.0,2.4,60.4,59.0, Low  ,530
0.31,Ideal,H,SI1,4.38,4.35,2.7,61.9,56.0, Low  ,595
0.4,Ideal,F,VS1,4.74,4.78,2.93,61.6,55.0, Low  ,917
0.31,Ideal,E,VVS1,4.37,4.35,2.72,62.4,56.0,Mid  ,1028
0.32,Ideal,G,VVS2,4.45,4.42,2.71,61.1,55.0, Low  ,936
1.07,Ideal,E,SI2,6.63,6.66,4.07,61.2,56.0,Mid  ,4799
1.01,Premium,E,SI1,6.38,6.33,3.99,62.8,58.0,Mid  ,5741
1.42,Ideal,F,VVS1,7.25,7.32,4.43,60.8,56.0,High  ,18682
0.41,Very Good,G,VS1,4.76,4.8,2.94,61.5,58.0, Low  ,899
0.67,Very Good,G,VS1,5.69,5.75,3.42,59.9,57.4,Mid  ,2309
0.31,Very Good,E,SI1,4.31,4.28,2.71,63.1,57.0, Low  ,698
0.55,Very Good,F,VVS2,5.2,5.22,3.25,62.4,59.0,Mid  ,2147
0.41,Premium,I,VVS2,4.78,4.76,2.96,62.1,58.0,Mid  ,1061
0.56,Ideal,H,VVS1,5.3,5.32,3.26,61.4,56.0,Mid  ,1941
2.17,Ideal,H,SI2,8.25,8.29,5.13,62.0,56.0,High  ,17805
1.21,Premium,I,SI1,6.89,6.85,4.23,61.6,56.0,Mid  ,5760
0.9,Good,I,VVS1,6.14,6.1,3.89,63.6,58.0,Mid  ,4114
0.43,Premium,F,SI1,4.81,4.77,3.0,62.6,58.0,Mid  ,1016
0.6,Very Good,E,VS2,5.34,5.38,3.37,62.9,59.0,Mid  ,2085
0.38,Ideal,F,SI1,4.7,4.72,2.87,60.9,55.0, Low  ,844
1.06,Very Good,G,VS1,6.48,6.45,4.1,63.4,57.0,Mid  ,6595
0.7,Very Good,H,VS2,5.6,5.66,3.54,62.9,57.0,Mid  ,2498
0.59,Very Good,G,VS1,5.46,5.35,3.38,62.5,53.0,Mid  ,1942
2.07,Ideal,I,VS2,8.23,8.28,4.98,60.3,59.0,High  ,17045
0.41,Ideal,F,VS2,4.81,4.8,2.92,60.8,56.0,Mid  ,1107
1.51,Premium,H,VS2,7.31,7.25,4.58,62.9,59.0,High  ,11268
1.3,Premium,D,SI2,7.0,7.05,4.23,60.2,59.0,High  ,7002
1.02,Very Good,G,VS2,6.47,6.51,3.95,60.9,56.0,Mid  ,6432
0.42,Ideal,H,VS1,4.82,4.85,2.99,61.8,55.0, Low  ,830
1.03,Very Good,F,VS2,6.39,6.45,4.0,62.3,59.0,Mid  ,6153
0.3,Ideal,G,VVS1,4.27,4.31,2.66,62.0,58.0, Low  ,764
1.19,Ideal,F,VS2,6.76,6.78,4.2,62.0,57.0,High  ,8265
1.51,Ideal,F,SI1,7.28,7.33,4.59,62.8,57.0,High  ,12545
0.43,Very Good,I,VVS1,4.83,4.86,3.05,63.0,56.0, Low  ,905
0.31,Premium,I,VS2,4.34,4.32,2.63,60.7,61.0, Low  ,558
1.02,Ideal,F,VS1,6.49,6.52,3.97,61.0,56.0,High  ,8011
0.37,Ideal,E,VVS2,4.6,4.63,2.85,61.8,54.0, Low  ,844
2.1,Fair,G,I1,7.82,7.76,5.24,67.4,59.0,Mid  ,6597
1.01,Very Good,G,SI1,6.28,6.35,3.98,63.0,57.0,Mid  ,4890
0.7,Good,D,SI1,5.57,5.61,3.5,62.6,60.0,Mid  ,2681
0.28,Very Good,F,VS2,4.17,4.19,2.58,61.7,58.0, Low  ,487
0.24,Very Good,F,VVS1,3.97,4.01,2.49,62.3,56.0, Low  ,608
0.68,Good,F,SI1,5.59,5.63,3.43,61.2,61.0,Mid  ,1924
0.73,Ideal,F,VVS1,5.75,5.79,3.57,61.9,56.0,Mid  ,5154
0.32,Ideal,F,VS2,4.45,4.41,2.74,61.9,55.0, Low  ,773
0.74,Ideal,D,SI2,5.78,5.82,3.61,62.2,57.0,Mid  ,2690
0.51,Premium,E,VS2,5.2,5.22,3.14,60.3,59.0,Mid  ,1656
1.0,Fair,G,SI1,6.22,6.18,4.01,64.7,60.0,Mid  ,4312
0.41,Premium,G,VS1,4.85,4.81,2.92,60.5,57.0, Low  ,961
0.4,Ideal,D,VS1,4.78,4.82,2.91,60.6,56.0,Mid  ,1003
0.32,Ideal,F,IF,4.4,4.42,2.72,61.7,55.0, Low  ,929
0.35,Premium,I,VS1,4.53,4.5,2.79,61.8,58.0, Low  ,709
0.52,Very Good,F,SI2,5.28,5.33,3.07,57.9,61.0,Mid  ,1273
1.2,Good,I,VS1,7.02,6.96,4.04,57.8,61.0,Mid  ,5570
1.12,Very Good,G,SI1,6.76,6.81,4.04,59.5,62.0,Mid  ,5088
1.21,Premium,H,SI1,6.93,6.88,4.16,60.2,58.0,Mid  ,6640
0.59,Ideal,F,VS2,5.43,5.48,3.31,60.6,56.0,Mid  ,1834
0.32,Ideal,D,SI1,4.4,4.37,2.72,62.0,57.0, Low  ,756
0.34,Very Good,I,VVS1,4.43,4.52,2.77,61.9,58.0, Low  ,626
2.06,Very Good,I,SI2,8.12,8.2,5.09,62.3,57.0,High  ,14298
1.21,Premium,J,SI1,6.74,6.71,4.21,62.6,58.0,Mid  ,4269
0.42,Ideal,D,VVS1,4.79,4.82,2.96,61.6,56.0,Mid  ,1547
0.71,Ideal,H,VVS1,5.78,5.81,3.5,60.4,57.0,Mid  ,2867
0.54,Premium,E,SI1,5.24,5.15,3.23,62.2,61.0,Mid  ,1375
0.5,Very Good,I,VS1,5.07,5.01,3.18,63.1,56.0,Mid  ,1013
0.31,Ideal,I,VS1,4.36,4.39,2.7,61.7,55.0, Low  ,424
1.47,Very Good,G,VS2,7.15,7.18,4.49,62.7,56.0,High  ,11060
0.33,Very Good,G,SI1,4.42,4.45,2.71,61.1,59.0, Low  ,492
0.31,Ideal,D,VS2,4.31,4.34,2.69,62.2,57.0, Low  ,734
0.53,Very Good,G,VS1,5.24,5.27,3.2,60.9,56.0,Mid  ,1636
0.34,Ideal,E,VVS2,4.49,4.53,2.81,62.3,55.0, Low  ,826
0.84,Very Good,D,SI1,6.18,6.21,3.67,59.2,59.0,Mid  ,3809
0.38,Ideal,G,SI2,4.64,4.68,2.87,61.6,55.0, Low  ,602
1.6,Ideal,I,SI2,7.51,7.48,4.64,61.9,57.0,High  ,8530
0.53,Ideal,G,VS1,5.23,5.26,3.21,61.2,55.0,Mid  ,1754
0.34,Ideal,F,IF,4.48,4.51,2.8,62.3,54.0, Low  ,985
1.0,Premium,F,VS2,6.37,6.29,3.94,62.2,59.0,Mid  ,6328
0.38,Premium,D,VS1,4.81,4.77,2.79,58.2,58.0,Mid  ,1064
0.56,Ideal,F,VS2,5.27,5.31,3.28,62.0,56.0,Mid  ,1664
0.9,Very Good,D,VS2,6.16,6.09,3.87,63.2,58.0,Mid  ,4712
0.39,Ideal,G,VVS2,4.68,4.7,2.9,61.9,56.0, Low  ,902
1.5,Good,H,SI1,7.23,7.14,4.62,64.3,60.0,High  ,9946
0.91,Ideal,E,SI1,6.26,6.24,3.84,61.4,54.0,Mid  ,5252
0.52,Very Good,G,VS2,5.13,5.16,3.24,63.0,55.0,Mid  ,1369
0.4,Good,E,SI1,4.66,4.68,3.0,64.2,57.0, Low  ,662
0.41,Ideal,H,SI1,4.78,4.74,2.97,62.4,56.0, Low  ,876
0.9,Very Good,J,SI1,6.17,6.14,3.9,63.4,54.0,Mid  ,2834
0.4,Very Good,G,SI1,4.8,4.76,2.87,60.0,63.0, Low  ,900
0.31,Ideal,D,SI1,4.36,4.38,2.71,62.0,55.0, Low  ,571
1.02,Premium,G,VVS2,6.43,6.39,3.99,62.2,60.0,High  ,7741
0.31,Ideal,D,SI1,4.32,4.36,2.68,61.8,57.0, Low  ,571
0.53,Ideal,G,VVS1,5.2,5.22,3.21,61.6,57.0,Mid  ,2153
1.0,Good,E,SI1,6.59,6.56,3.76,57.2,62.0,Mid  ,5345
1.01,Very Good,G,VS2,6.36,6.46,3.95,61.6,61.0,Mid  ,5759
0.52,Ideal,E,VVS2,5.15,5.18,3.19,61.8,56.0,Mid  ,2430
0.3,Premium,F,SI2,4.27,4.25,2.63,61.7,62.0, Low  ,506
0.77,Ideal,H,VS1,5.91,5.97,3.64,61.3,56.0,Mid  ,3468
0.5,Premium,F,VS1,5.06,5.1,3.14,61.8,60.0,Mid  ,1710
0.41,Ideal,F,VVS2,4.74,4.79,2.95,61.9,55.0,Mid  ,1115
0.31,Premium,F,VS2,4.31,4.27,2.7,62.9,58.0, Low  ,802
2.01,Premium,F,SI2,7.88,7.82,4.87,62.0,60.0,High  ,11903
1.0,Premium,F,I1,6.34,6.38,3.97,62.4,59.0,Mid  ,3344
0.5,Very Good,G,VS1,5.08,5.15,3.12,61.0,58.0,Mid  ,1694
0.34,Ideal,D,SI1,4.53,4.5,2.8,62.0,55.0, Low  ,750
1.19,Ideal,I,SI1,6.73,6.69,4.28,63.7,57.0,Mid  ,5331
2.05,Premium,J,VS1,8.25,8.19,4.94,60.1,58.0,High  ,15067
1.73,Premium,G,VVS2,7.76,7.66,4.83,62.6,55.0,High  ,18377
1.08,Ideal,D,VS1,6.59,6.63,4.04,61.1,56.0,High  ,9545
1.59,Ideal,J,VS1,7.5,7.55,4.61,61.3,57.0,High  ,9494
0.46,Fair,H,VS2,4.8,4.84,3.16,65.6,58.0, Low  ,830
0.71,Very Good,I,VVS2,5.73,5.81,3.55,61.5,58.0,Mid  ,2448
0.3,Ideal,H,VVS2,4.33,4.36,2.7,62.1,55.0, Low  ,590
1.31,Premium,H,VS1,6.98,6.97,4.33,62.1,58.0,Mid  ,5722
0.51,Very Good,E,VS2,5.22,5.17,3.09,59.5,63.0,Mid  ,1671
0.34,Ideal,D,IF,4.52,4.46,2.79,62.1,57.0,Mid  ,2346
0.4,Ideal,J,VS1,4.75,4.71,2.96,62.6,55.0, Low  ,810
0.5,Premium,D,VS2,5.1,5.04,3.14,61.9,58.0,Mid  ,1845
0.7,Good,I,VS2,5.57,5.59,3.55,63.6,58.0,Mid  ,2010
0.72,Ideal,G,VS1,5.75,5.8,3.54,61.3,56.0,Mid  ,3478
1.07,Premium,G,SI1,6.69,6.6,4.02,60.5,62.0,Mid  ,4949
0.7,Premium,F,SI1,5.73,5.7,3.52,61.6,58.0,Mid  ,2463
0.32,Premium,G,VVS2,4.44,4.41,2.69,60.8,59.0, Low  ,936
0.3,Ideal,F,VS1,4.31,4.35,2.69,62.1,55.0, Low  ,612
0.31,Premium,D,SI2,4.4,4.38,2.64,60.1,58.0, Low  ,593
2.3,Ideal,G,SI2,8.47,8.41,5.2,61.6,57.0,High  ,15433
0.9,Very Good,E,SI2,6.2,6.17,3.9,63.1,54.0,Mid  ,3084
1.2,Ideal,H,VS2,6.74,6.8,4.22,62.4,56.6,High  ,7235
1.01,Good,G,SI1,6.34,6.31,4.07,64.3,55.0,Mid  ,3733
1.07,Ideal,I,VS1,6.56,6.5,4.05,62.0,57.0,Mid  ,5302
0.51,Premium,F,SI2,5.24,5.19,3.07,58.9,60.0,Mid  ,1195
1.52,Ideal,H,SI1,7.4,7.36,4.54,61.5,58.0,High  ,10589
0.36,Ideal,F,VS2,4.61,4.58,2.8,60.9,57.0, Low  ,932
0.56,Ideal,G,VVS2,5.35,5.37,3.28,61.2,55.0,Mid  ,1979
0.61,Ideal,E,I1,5.43,5.37,3.42,63.4,57.0,Mid  ,1255
1.61,Premium,H,SI1,7.61,7.58,4.62,60.8,56.0,High  ,11169
1.54,Premium,I,VS2,7.4,7.34,4.55,61.7,59.0,High  ,8917
0.3,Good,G,VS2,4.42,4.37,2.57,58.5,64.0, Low  ,648
0.3,Good,G,VS2,4.42,4.37,2.57,58.5,64.0, Low  ,515
0.37,Ideal,G,VVS2,4.63,4.67,2.88,61.9,54.0, Low  ,917
1.01,Premium,F,SI2,6.4,6.35,4.0,62.7,56.0,Mid  ,4197
1.0,Premium,E,SI1,6.45,6.4,3.89,60.5,59.0,Mid  ,5396
0.4,Premium,F,VS1,4.67,4.7,2.9,61.9,59.0, Low  ,982
1.21,Premium,J,VS1,6.95,6.88,4.15,60.0,60.0,Mid  ,5489
0.9,Premium,D,SI1,6.19,6.14,3.77,61.2,60.0,Mid  ,4304
0.73,Fair,F,VS1,5.92,5.88,3.46,58.6,66.0,Mid  ,3002
0.33,Very Good,I,VS1,4.4,4.37,2.77,63.2,57.0, Low  ,668
0.46,Ideal,F,SI2,4.98,5.01,3.07,61.5,54.0, Low  ,758
1.5,Very Good,E,SI1,7.24,7.41,4.5,61.4,59.0,High  ,11533
0.5,Very Good,D,SI2,5.05,4.96,3.16,63.1,56.0,Mid  ,1015
2.15,Fair,J,I1,8.01,7.95,5.23,65.5,57.0,Mid  ,5430
1.05,Premium,D,SI1,6.73,6.66,3.92,58.6,60.0,Mid  ,5821
1.16,Premium,G,VS1,6.76,6.72,4.17,61.9,58.0,High  ,8107
0.7,Premium,D,VS2,5.71,5.69,3.47,60.9,57.0,Mid  ,2909
1.32,Fair,F,VVS1,7.31,7.28,4.23,58.0,66.0,High  ,12648
1.01,Very Good,H,SI1,6.4,6.43,3.97,61.9,59.0,Mid  ,5026
1.52,Premium,H,VS2,7.49,7.45,4.44,59.4,59.0,High  ,11206
0.53,Premium,F,VS1,5.17,5.11,3.16,61.5,61.0,Mid  ,1558
0.32,Ideal,E,VVS1,4.41,4.42,2.72,61.6,56.0, Low  ,954
1.2,Good,E,SI1,6.67,6.61,4.25,64.0,61.0,High  ,7096
0.61,Ideal,E,VVS2,5.43,5.45,3.38,62.1,54.2,Mid  ,2907
0.25,Very Good,F,VVS2,4.05,4.08,2.5,61.6,57.0, Low  ,633
0.33,Ideal,F,VVS1,4.47,4.43,2.75,61.8,57.0,Mid  ,1021
0.41,Ideal,D,VS2,4.77,4.74,2.93,61.6,55.0,Mid  ,1076
0.3,Good,H,VS1,4.25,4.29,2.7,63.2,56.0, Low  ,526
1.18,Ideal,I,SI1,6.77,6.82,4.18,61.5,56.0,Mid  ,5378
0.33,Ideal,E,SI2,4.44,4.46,2.77,62.2,54.0, Low  ,427
0.27,Fair,E,VS1,3.99,4.02,2.66,66.4,58.0, Low  ,371
0.9,Very Good,J,SI2,6.07,6.1,3.87,63.6,58.0,Mid  ,2860
1.26,Good,J,VS2,6.81,6.86,4.32,63.2,57.3,Mid  ,5211
2.07,Premium,H,SI1,8.17,8.09,5.04,62.0,58.0,High  ,13786
1.75,Premium,I,VS1,7.84,7.8,4.74,60.6,60.0,High  ,12529
1.27,Premium,G,SI2,6.93,6.88,4.32,62.4,56.0,Mid  ,4353
0.3,Very Good,H,VS1,4.26,4.29,2.69,62.9,57.0, Low  ,526
0.37,Ideal,F,VVS1,4.59,4.61,2.83,61.5,56.0, Low  ,931
0.8,Fair,E,I1,5.84,5.68,3.78,65.5,54.0,Mid  ,1232
0.72,Ideal,E,SI1,5.72,5.66,3.53,62.0,57.0,Mid  ,2476
1.22,Very Good,I,VS1,6.79,6.83,4.29,62.9,53.8,High  ,6763
0.3,Very Good,E,SI1,4.3,4.25,2.7,63.2,57.0, Low  ,675
0.31,Ideal,E,VS2,4.39,4.41,2.67,60.7,57.0, Low  ,642
0.92,Good,F,SI2,6.14,6.11,3.93,64.2,58.0,Mid  ,3282
0.7,Very Good,F,SI1,5.67,5.7,3.49,61.4,59.0,Mid  ,2312
0.8,Fair,G,SI2,5.96,5.93,3.64,61.2,58.0,Mid  ,2246
0.46,Fair,F,SI1,4.86,4.79,3.2,66.3,56.0, Low  ,984
1.36,Very Good,G,VVS2,7.12,7.16,4.34,60.8,60.0,High  ,11774
1.26,Ideal,G,VS1,6.93,6.87,4.3,62.3,57.0,Mid  ,6604
2.06,Premium,I,SI2,8.24,8.21,5.02,61.0,59.0,High  ,14982
0.41,Premium,E,VS1,4.77,4.8,2.96,61.9,59.0,Mid  ,1079
1.53,Ideal,I,SI2,7.31,7.27,4.64,63.7,58.0,High  ,8062
0.31,Ideal,G,VVS1,4.38,4.41,2.72,61.9,55.0, Low  ,789
0.3,Ideal,G,VVS1,4.31,4.35,2.67,61.7,57.0, Low  ,764
0.36,Ideal,F,VS2,4.58,4.55,2.83,62.0,55.0, Low  ,932
1.01,Very Good,F,VS2,6.37,6.43,4.01,62.7,56.0,Mid  ,6159
0.38,Ideal,F,VVS1,4.67,4.7,2.9,61.9,55.0,Mid  ,1096
0.37,Ideal,H,SI1,4.71,4.67,2.8,59.7,56.0, Low  ,684
0.95,Very Good,J,VVS2,6.33,6.36,3.84,60.5,59.0,Mid  ,4098
1.04,Ideal,E,SI1,6.47,6.5,4.02,62.0,57.0,Mid  ,4530
1.06,Very Good,H,VS2,6.47,6.49,4.05,62.5,57.0,Mid  ,5783
1.11,Ideal,I,SI1,6.65,6.66,4.12,61.9,55.0,Mid  ,5329
0.32,Ideal,E,VVS1,4.42,4.39,2.72,61.7,55.0,Mid  ,1020
1.01,Very Good,F,SI2,6.38,6.32,3.86,60.8,63.0,Mid  ,4017
0.41,Premium,H,SI1,4.81,4.77,2.96,61.8,59.0, Low  ,984
0.52,Ideal,E,SI1,5.2,5.24,3.18,60.8,55.0,Mid  ,1737
0.3,Ideal,G,VVS1,4.32,4.3,2.66,61.7,57.0,Mid  ,1013
1.74,Premium,J,VS1,7.67,7.65,4.79,62.5,58.0,High  ,11050
0.31,Very Good,D,VS2,4.31,4.34,2.72,62.9,55.0, Low  ,734
0.36,Ideal,H,IF,4.6,4.55,2.83,61.9,57.0,Mid  ,1013
